Pur,Ch,Dm,Adr,Pos,U#,Type,Load,Acc,Clr,Gbo,Gsiz,Ckt,C#,Cbl,DtaC,Mk,Sys,RAM,DMX,CAT,L620,SGP,CT,VT,Mod,DPF,HC,MD,FIBR,IRN,PCon,T1,ADPT,OCH,IP,NFN,NF,HFC,Print,SLXN,FCAN,Scy,L/R,U/D,Nt,US,DS,SR,SL,Top,Bot,Foc,Ax,Bm,Layer,Legend,Class,XCord,YCord,ZCord,Rot,VWFcPt,LtOrd,LW,Ext,Sym,Plt,Univ,DMX,Phs,PosOrd,WkStat,DTyp,ClrFm,When,Pos & U#,Type & Acc,Type & Load,Type & Acc & Load,Ckt & C#,Clr & Gbo,Flgs,DxQ,Wt,Typ Sym,Lbl Lgnd,LtPlt,Acc Wt,Prof,Pur Nt,Ch Nt,Dm Nt,Adr Nt,Pos Nt,U# Nt,Type Nt,Load Nt,Acc Nt,Clr Nt,Gbo Nt,Gsiz Nt,Ckt Nt,C# Nt,Cbl Nt,DtaC Nt,Mk Nt,Sys Nt,RAM Nt,DMX Nt,CAT Nt,L620 Nt,SGP Nt,CT Nt,VT Nt,Mod Nt,DPF Nt,HC Nt,MD Nt,FIBR Nt,IRN Nt,PCon Nt,T1 Nt,ADPT Nt,OCH Nt,IP Nt,NFN Nt,NF Nt,HFC Nt,Print Nt,SLXN Nt,FCAN Nt,Scy Nt,L/R Nt,U/D Nt,Nt Nt,Ct1 Nt
Spot 1,,,,Spot Booth,1,Followspot,,,"R132, L206, L205, L249, L248, G315",,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-FOH,GS Main,None,"2'-3""","-11'-7""",0',,,1,872EE0:648:1D:1B:Vecto,1460.1.1.0.0,Generic Followspot-SHORT,Yes,,,,1,,Light,1290 & 1293,11/10/21 at 3:23 PM - Color  by me,Spot Booth #1,Followspot,Followspot,Followspot,,"R132, L206, L205, L249, L248, G315",,,,Generic Followspot-SHORT,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot 2,,,,Spot Booth,2,Followspot,,,"R132, L206, L205, L249, L248, G315",,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-FOH,GS Main,None,"-2'-3""","-11'-7""",0',,,2,680A71:62B:1D:1B:Vecto,1461.1.1.0.0,Generic Followspot-SHORT,Yes,,,,1,,Light,1290 & 1293,11/10/21 at 3:23 PM - Color  by me,Spot Booth #2,Followspot,Followspot,Followspot,,"R132, L206, L205, L249, L248, G315",,,,Generic Followspot-SHORT,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream Ballet,511,,1/1,Balc Rail,1,Mac Ultra Performance,1450,,,,,3T,1,,,,A,,"125',125',50'",,,,,,,Octo 1-A,,Mode 1,,,,,,,,,,NO,,,,,,,,,,,,,,Not,,,[GP] LX-FOH,GS Main,None,0',"-10'-2""",0',,,1,8C1997:BB:1D:1A:Vecto,1859.1.1.0.0,MAC Ultra Performance,Yes,1,1,,2,,Moving Light,,11/10/21 at 9:26 PM - Cir#  by Ronald Schwier,Balc Rail #1,Mac Ultra Performance,Mac Ultra Performance 1.45kW,Mac Ultra Performance 1.45kW,3T-1,,,48,,MAC Ultra Performance,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative FRT UL,222,106,1/106,Balc Rail,6c,S4-14,750,TH,R119,,,1FF,1,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,0',0',0',,,2,3C8AD9:19E2E:2F:1E:Ronal,,S4-14 750w,No,1,106,,2,,Light,Source 4 14°,11/10/21 at 9:20 PM - Unit#  by Ronald Schwier,Balc Rail #6c,S4-14+TH,S4-14 750w,S4-14+TH 750w,1FF-1,R119,,1,40 lbs,S4-14 750w,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative FRT ULC,223,109,1/109,Balc Rail,9c,S4-14,750,TH,R119,,,1FF,2,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,0',0',0',,,3,17864F:19E30:2F:1E:Ronal,,S4-14 750w,No,1,109,,2,,Light,Source 4 14°,11/10/21 at 9:20 PM - Unit#  by Ronald Schwier,Balc Rail #9c,S4-14+TH,S4-14 750w,S4-14+TH 750w,1FF-2,R119,,1,40 lbs,S4-14 750w,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative FRT UC,224,112,1/112,Balc Rail,12c,S4-14,750,TH,R119,,,1FF,3,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,0',0',0',,,4,630AA1:19E32:2F:1E:Ronal,,S4-14 750w,No,1,112,,2,,Light,Source 4 14°,11/10/21 at 9:20 PM - Unit#  by Ronald Schwier,Balc Rail #12c,S4-14+TH,S4-14 750w,S4-14+TH 750w,1FF-3,R119,,1,40 lbs,S4-14 750w,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative FRT URC,225,115,1/115,Balc Rail,15c,S4-14,750,TH,R119,,,1FF,4,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,0',0',0',,,5,33525A:19E34:2F:1E:Ronal,,S4-14 750w,No,1,115,,2,,Light,Source 4 14°,11/10/21 at 9:20 PM - Unit#  by Ronald Schwier,Balc Rail #15c,S4-14+TH,S4-14 750w,S4-14+TH 750w,1FF-4,R119,,1,40 lbs,S4-14 750w,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative FRT UR,226,118,1/118,Balc Rail,18c,S4-14,750,TH,R119,,,1FF,5,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,0',0',0',,,6,CC781:19E36:2F:1E:Ronal,,S4-14 750w,No,1,118,,2,,Light,Source 4 14°,11/10/21 at 9:20 PM - Unit#  by Ronald Schwier,Balc Rail #18c,S4-14+TH,S4-14 750w,S4-14+TH 750w,1FF-5,R119,,1,40 lbs,S4-14 750w,GS Main-Side Purpose,True,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL LIghts,521,180,1/180,Balc Rail,19,,,,,,,1FF,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,LAUREY UR,,14R,+23,Used on Laurey in Q79.5 (should cover 7R to SR wall),C/T +31 @ HH,,C/O SR Wall,L/A 7R,,,Not,,Sharp/Medium,[GP] LX-FOH,GS Main,None,"-73'-7""","-4'-8""",0',,,7,1A396:181A6:33:1:Vecto,2077.1.1.0.0,S4-19 750w-Short,No,1,180,,2,,Light,,11/10/21 at 9:22 PM - Unit#  by Ronald Schwier,Balc Rail #19,,,,1FF-6,,,,,S4-19 750w-Short,,False,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,,,FOH Cove,,,,,,,,1D,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,1,18CDDF:15859:20:10:Ronal,,,No,,,,3,,Light,,11/10/21 at 5:49 PM - Purp  by Ronald Schwier,FOH Cove #,,,,1D-6,,,,,,,False,,,,,,,,,,,,,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
